Ring,Relic,45,Specialization,178,None,0,Remaining Energy,3,Cursed Doll,5,Atk. Power Reduction,1,105000,25
Ring,Relic,25,Specialization,170,None,0,Cursed Doll,4,Keen Blunt Weapon,3,Atk. Power Reduction,3,5000,25
Ring,Relic,40,Specialization,176,None,0,Cursed Doll,4,Keen Blunt Weapon,3,Defense Reduction,2,7500,25
Ring,Relic,60,Specialization,184,None,0,Cursed Doll,4,Keen Blunt Weapon,3,Defense Reduction,2,5000,25
Ring,Relic,75,Specialization,190,None,0,Cursed Doll,4,Keen Blunt Weapon,3,Move Speed Reduction,2,9000,25
Earrings,Relic,58,Specialization,275,None,0,Cursed Doll,4,Keen Blunt Weapon,3,Atk. Speed Reduction,2,5000,25
Earrings,Relic,50,Specialization,270,None,0,Cursed Doll,4,Keen Blunt Weapon,3,Atk. Power Reduction,2,8000,25
Necklace,Legendary,77,Crit,438,Specialization,407,Keen Blunt Weapon,3,Remaining Energy,3,Move Speed Reduction,3,4444,15
Necklace,Legendary,95,Crit,443,Specialization,447,Keen Blunt Weapon,3,Remaining Energy,3,Atk. Power Reduction,2,5000,15
Necklace,Legendary,83,Crit,423,Specialization,435,Keen Blunt Weapon,3,Remaining Energy,3,Atk. Speed Reduction,1,8000,15
Ring,Legendary,80,Specialization,170,None,0,Keen Blunt Weapon,3,Remaining Energy,3,Move Speed Reduction,3,75,15
Ring,Legendary,96,Specialization,178,None,0,Keen Blunt Weapon,3,Remaining Energy,3,Move Speed Reduction,2,100,15
Ring,Legendary,90,Specialization,175,None,0,Keen Blunt Weapon,3,Remaining Energy,3,Defense Reduction,1,150,15
Earrings,Legendary,89,Specialization,262,None,0,Keen Blunt Weapon,3,Remaining Energy,3,Defense Reduction,1,145,15
Earrings,Legendary,84,Specialization,258,None,0,Keen Blunt Weapon,3,Remaining Energy,3,Move Speed Reduction,2,120,15
Earrings,Legendary,88,Specialization,261,None,0,Keen Blunt Weapon,3,Remaining Energy,3,Defense Reduction,1,115,15
Ring,Legendary,72,Specialization,166,None,0,Keen Blunt Weapon,3,Remaining Energy,3,Defense Reduction,1,30,15
